element #,waveln. At elem cent.
407,607.9699408
408,608.5746655
409,609.1797425
410,609.7851756
411,610.3909688
412,610.9971259
413,611.6036509
414,612.2105478
415,612.8178204
416,613.4254727
417,614.0335085
418,614.6419319
419,615.2507467
420,615.8599568
421,616.4695662
422,617.0795788
423,617.6899985
424,618.3008293
425,618.912075
426,619.5237396
427,620.135827
428,620.7483411
429,621.3612859
430,621.9746652
431,622.588483
432,623.2027432
433,623.8174498
434,624.4326066
435,625.0482176
436,625.6642867
437,626.2808178
438,626.8978148
439,627.5152817
440,628.1332224
441,628.7516408
442,629.3705408
443,629.9899264
444,630.6098014
445,631.2301698
446,631.8510355
447,632.4724025
448,633.0942746
449,633.7166558
450,634.33955
451,634.9629611
452,635.5868931
453,636.2113498
454,636.8363352
455,637.4618532
456,638.0879077
457,638.7145027
458,639.3416421
459,639.9693297
460,640.5975696
461,641.2263656
462,641.8557217
463,642.4856417
464,643.1161296
465,643.7471894
466,644.3788249
467,645.0110401
468,645.6438388
469,646.2772251
470,646.9112028
471,647.5457758
472,648.1809482
473,648.8167237
474,649.4531063
475,650.0901
476,650.7277086
477,651.3659361
478,652.0047865
479,652.6442635
480,653.2843712
481,653.9251135
482,654.5664942
483,655.2085174
484,655.8511869
485,656.4945066
486,657.1384805
487,657.7831125
488,658.4284066
489,659.0743666
490,659.7209964
491,660.3683
492,661.0162814
493,661.6649443
494,662.3142928
495,662.9643308
496,663.6150622
497,664.2664909
498,664.9186208
499,665.5714558
500,666.225
501,666.8792572
502,667.5342312
503,668.1899261
504,668.8463458
505,669.5034942
506,670.1613752
507,670.8199927
508,671.4793506
509,672.139453
510,672.8003036
511,673.4619064
512,674.1242654
513,674.7873845
514,675.4512675
515,676.1159184
516,676.7813411
517,677.4475396
518,678.1145178
519,678.7822795
520,679.4508288
521,680.1201695
522,680.7903055
523,681.4612409
524,682.1329794
525,682.805525
526,683.4788817
527,684.1530533
528,684.8280438
529,685.5038572
530,686.1804972
531,686.8579679
532,687.5362732
533,688.2154169
534,688.8954031
535,689.5762356
536,690.2579184
537,690.9404553
538,691.6238503
539,692.3081074
540,692.9932304
541,693.6792233
542,694.3660899
543,695.0538343
544,695.7424603
545,696.4319718
546,697.1223728
547,697.8136672
548,698.5058589
549,699.1989519
550,699.89295
551,700.5878572
552,701.2836774
553,701.9804145
554,702.6780725
555,703.3766552
556,704.0761666
557,704.7766106
558,705.4779912
559,706.1803122
560,706.8835776
